horse_id,oldest_sibling_id,oldest_sibling_name,oldest_sibling_birth_year
2022102133,2023104620,ユクユク,2023
2022105554,2024106071,リサオブザナイルの2024,2024
2022106996,2021106985,ラブリネス,2021
2019106821,2018106812,ポウリナズラヴの2018,2018
2020104497,2018104093,サンエイマジック,2018
2020110026,,,
2022110121,,,
2022110143,,,
2020100815,2018103216,モッツアン,2018
2021101280,2023100823,ジーティーウタマロ,2023
2021107098,2022107121,ディルブランド,2022
2022103946,2023102762,スマートビガー,2023
2020100714,2019102555,カネトシジュテームの2019,2019
2021110117,,,
2022104546,2023105411,リアルパラダイス,2023
2022105843,2018110005,プペフラッシュの2018,2018
2021105973,2022105976,オレノナオミ,2022
2020102589,2021104789,シグナル,2021
2020103049,2022106080,ネオシャクナゲ,2022
2020104328,2018103903,カツノホワイト,2018
2021102098,2019102211,バジガクマナムスメ,2019
2021104754,2019104457,クライオブデライト,2019
2022101465,,,
2020104088,2018103689,アイルオブラヴ,2018
2022105338,2023103412,トラカイキャッスル,2023
2022107340,,,
2020105656,2021106657,セーラス,2021
2022103485,2021103467,ホウオウミニスター,2021
2022104292,,,
2021102392,2023102021,ゴールドアイリーン,2023
2022110056,,,
2022110151,,,
2021102078,2019102195,ウクライナアイズ,2019
2022103643,,,
2020103369,2021105521,ヘデントール,2021
2020105957,2019100951,ラニサンバダンサー,2019
2022100382,2023105994,ビップレグルス,2023
2022100413,2023105192,オリコウドゥビル,2023
2022110063,,ブラーリーメモリー,2020
2020103875,2021103480,ミレニアムヒロイン,2021
2020100948,2021100954,ウォーターリッシュ,2021
2021103535,2023102409,フローラルダンサーの2023,2023
2022100583,2023100096,ジュエルブリス,2023
2022100729,2020107053,アウレアレックス,2020
2021100895,2022100347,サフランキララ,2022
2022101259,2021101230,ビックリポン,2021
2022104832,2023107054,ギャニミード,2023
2022110126,,,
2020101265,2022107056,テーオーシュターデ,2022
2020102679,2021104883,ソルヴェイグの2021,2021
2022102088,2023101483,シャルマンナナ,2023
2020102570,2021104770,フォーディアライフ,2021
2020103225,2021105383,アルレジャン,2021
2021105805,2022105077,ワイルドブッター,2022
2020110051,,One Voice,2017
2021100873,2022100324,アオイヒビキ,2022
2021104432,2020104775,コットンキャンディ,2020
2021104918,2022105847,ディーズゴールド,2022
2021110139,2024101897,アンダーグラウンド,2024
2022104936,2023107140,ビーチェマーレ,2023
2021109043,2022109047,ワイルドゴーア,2022
2022104171,2023102945,エイチエヌライ,2023
2022110152,,,
2021105888,2022105170,ミリアッドラヴ,2022
2021110075,,,
2021104511,2022104497,ムコリッタ,2022
2021106768,2023106426,コスモエルヴァル,2023
2020110079,,,
2021105175,2022105455,デルマカリスト,2022
2021105598,2022104844,ブルスカメンテ,2022
2021110123,,Warning Flag,2008
2021101891,2020102015,ムンドノーヴォ,2020
2021104280,2020104637,シンライクレイヴ,2020
2020101918,2022101783,プレミアシップ,2022
2021103197,2019104022,ナーゴナーゴハツエの2019,2019
2022101889,2020102005,ゼットイーリスの2020,2020
2021101306,2020101467,ベラジオシュンスケ,2020
2021104806,2022105737,ミッキーマカパ,2022
2021106983,2023104612,ゼンノトヨタマヒメ,2023
2021110002,2022104693,レッドシュテルン,2022
2020102724,2021104927,リリエンフェルト,2021
2020110127,,,
2021103488,,,
2021103582,2020103977,サイレンスエース,2020
2021104751,2020102547,オリエントワークスの2020,2020
2021105489,2022104738,パスコード,2022
